_id,date_news,time_news,rubrics_title,format_title,theme_title,link,title,subtitle,view_news,number_comments,date_time_news,article,author,author_description,link_author,result_list_tags_article,reaction_article,all_comment
2022_08_11_71561456,2022-08-11,22:20:00,Политика,Обзор,Спецоперация на Украине,https://63.ru/text/politics/2022/08/11/71561456/,Эстония запретила россиянам въезд в страну по своему шенгену: новости вокруг спецоперации за 11 августа,Что произошло за последние сутки,1 374,11,2022-08-11 22:20:00,"24 февраля по приказу Владимира Путина российские Вооруженные силы начали специальную военную операцию на территории Украины. Мир ответил на это беспрецедентными санкциями, а иностранные компании — уходом с российского рынка. Каждый вечер мы сообщаем вам о главных событиях минувшего дня. Сегодня подводим итоги 11 августа. Эстония закрывает границы для граждан РФ с шенгенскими визами, выданными республикой, сообщает эстонское министерство иностранных дел. Запрет вступит в силу 18 августа. В сообщении МИД перечислены исключения для этого запрета. Власти Эстонии также хотят запретить въезд для россиян, получивших шенгенские визы в других странах. Этот вопрос планируется рассмотреть позже. Сейм Латвии объявил Россию «государством, поддерживающим терроризм». В том же заявлении латвийский парламент призвал страны Евросоюза прекратить выдачу виз гражданам России и Белоруссии. Министр иностранных дел Латвии Эдгар Ринкевич также заявил, что жителям Латвии, получившим российское гражданство, впредь не будут выдаваться виды на жительство. После получения российского паспорта они должны будут покинуть Латвию. В МИД РФ назвали заявления «открытым проявлением шовинизма». Венгерский OTP Bank, представленный в России своей «дочкой», ОТП Банком, предупредил о возможном уходе из страны. ОТП Банк входит в топ-50 банков России. — Менеджмент OTP руководствуется принципом «непрерывности деятельности», однако в России менеджмент рассматривает все возможные варианты, которые существенно не снизят акционерную стоимость [актива] и могут иметь положительные эффекты для акционеров, включая возможную продажу российского предприятия по приемлемой цене», — говорится в отчете финансового учреждения за первое полугодие. Медведев сообщил, что посетил ЛНР и встретился с главами республик Донбасса. — В четверг посетил Луганскую Народную Республику, где встретился с главами ЛНР Леонидом Пасечником и ДНР Денисом Пушилиным, — написал он в своем telegram-канале. — По поручению президента России провел совещание, посвященное первоочередным мерам обеспечения безопасности республик Донбасса.",Екатерина Бормотова,Журналист национальной редакции,https://63.ru/text/author/151885/,"['ДНР', 'Дмитрий Медведев', 'ЛНР', 'Латвия', 'Россия', 'Украина', 'Эстония', 'Банк', 'Шенгенская виза', 'ОТП Банк', 'Спецоперация на Украине']",{},"[{'link': 'https://63.ru/text/politics/2022/08/11/71561456/', 'comment_id': 'list-79839124', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '12 August 2022 09:44', 'comment_text': 'Так прибалтийские страны это задворки Европы, я бы и так к ним не когда не поехал.', 'like_comment': '+1', 'dislike_comment': '−0'}, {'link': 'https://63.ru/text/politics/2022/08/11/71561456/', 'comment_id': 'list-79842218', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '12 August 2022 12:02', 'comment_text': 'Это прекрасно. 👍. Давно пора.', 'like_comment': '+1', 'dislike_comment': '−0'}, {'link': 'https://63.ru/text/politics/2022/08/11/71561456/', 'comment_id': 'list-79836211', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '12 August 2022 07:11', 'comment_text': 'Так перекройте ей ""кислород"".. нефть.газ . Перестаньте закупать у Латвии товары. Непонятная политика России и приводит к тому .что ""собаки"" не только лают .но и пытаются укусить.', 'like_comment': '+0', 'dislike_comment': '−0', 'comment_answer': []}, {'link': 'https://63.ru/text/politics/2022/08/11/71561456/', 'comment_id': 'list-79839657', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '12 August 2022 10:10', 'comment_text': 'Заблокируйте счета лидеров этих стран в Сбербанке.', 'like_comment': '+0', 'dislike_comment': '−0'}, {'link': 'https://63.ru/text/politics/2022/08/11/71561456/', 'comment_id': 'list-79832933', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '11 August 2022 22:23', 'comment_text': 'Где контрсанкции? Госизмена под видом Спецоперации?', 'like_comment': '+0', 'dislike_comment': '−1', 'comment_answer': []}, {'link': 'https://63.ru/text/politics/2022/08/11/71561456/', 'comment_id': 'list-79839699', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '12 August 2022 10:12', 'comment_text': 'Этот пункт тоже есть в плане Путина?', 'like_comment': '+0', 'dislike_comment': '−1'}]"
2022_08_11_71562233,2022-08-11,19:47:53,Происшествия,,,https://63.ru/text/incidents/2022/08/11/71562233/,В Самарской области таможенники задержали партию картофеля и пшеницы,Их пытались незаконно вывести за пределы страны,2 576,1,2022-08-11 19:47:53,"Крупную партию продовольственного товара пытались вывезти из России. Об этом рассказали представители самарской таможни. — В ночь на вторник, 9 августа 2022 года, таможенники остановили на автомобильном пункте пропуска в Оренбургской области 2 тягача. В каждом из них было по 20 тонн пшеницы. В документах отправителем был указан предприниматель, которого исключили из ЕГРЮЛ, — сообщили в самарской таможне. Также сотрудники управления остановили перевоз продуктов с фиктивным отправителем на другом пункте в Оренбургской области. Там попытались вывезти целых 40 тонн картофеля. Попытки вывоза из России сахара всё так же не прекращаются. Например, в начале августа таможенники остановили целый караван из большегрузов и «Газелей», которые везли 220 тонн сахара. Самую оперативную информацию о жизни Самары и области мы публикуем в нашем телеграм-канале 63.RU. А в паблике во «ВКонтакте» вы можете предложить свои новости, истории, фотографии и видео. Также у нас есть группа в «Одноклассниках». Читайте нас где удобно.",Екатерина Вдовина,,https://63.ru/text/author/164567/,"['Оренбургская область', 'Самарская таможня', 'Картофель', 'Пшеница', 'Таможня']","{'ЛАЙК': '1', 'СМЕХ': '2', 'УДИВЛЕНИЕ': '1', 'ГНЕВ': '2', 'ПЕЧАЛЬ': '0'}","[{'link': 'https://63.ru/text/incidents/2022/08/11/71562233/', 'comment_id': 'list-79831678', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '11 August 2022 20:46', 'comment_text': 'кс туда же отвезите срочно', 'like_comment': '+1', 'dislike_comment': '−0'}]"
2022_08_11_71562260,2022-08-11,19:30:00,Развлечения,,,https://63.ru/text/entertainment/2022/08/11/71562260/,"Айкидо, Матч «Крыльев» и «Огни Самары»: появилась программа развлечений на День физкультурника",Праздник состоится 13 августа,4 076,15,2022-08-11 19:30:00,"Во вторую субботу августа в областной столице пройдет спортивный фестиваль. В этот день самарцы будут праздновать День физкультурника. — Площадкой для мероприятия станет вторая очередь самарской набережной, у бассейна ЦСКА. Начало в 16:00, — сообщили в мэрии Самары. Также во время фестиваля будет работать пункт отбора на военную службу по контракту «Самарский батальон». Финальным спортивным мероприятием станут ночной забег «Огни Самары» на дистанциях 1586 метров, 5 и 10 километров и флешмоб «Za спорт!». В последнем люди встанут c фонариками в форме буквы «Z». Августовские выходные в Самаре богаты на спортивные мероприятия. В этот же день в городе состоится юбилейный забег на кубок главы города. Самую оперативную информацию о жизни Самары и области мы публикуем в нашем телеграм-канале 63.RU. А в паблике во «ВКонтакте» вы можете предложить свои новости, истории, фотографии и видео. Также у нас есть группа в «Одноклассниках». Читайте нас где удобно.",Екатерина Вдовина,,https://63.ru/text/author/164567/,"['Фестиваль', 'День физкультурника', 'Набережная', 'Спортивный праздник']","{'ЛАЙК': '1', 'СМЕХ': '0', 'УДИВЛЕНИЕ': '0', 'ГНЕВ': '1', 'ПЕЧАЛЬ': '0'}","[{'link': 'https://63.ru/text/entertainment/2022/08/11/71562260/', 'comment_id': 'list-79841830', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '12 August 2022 11:46', 'comment_text': 'И ""плюсом"" ко всем удовольствиям - БЕСПЛАТНОЕ ЗАРАЖЕНИЕ КОВИДом!!!!', 'like_comment': '+1', 'dislike_comment': '−0', 'comment_answer': []}, {'link': 'https://63.ru/text/entertainment/2022/08/11/71562260/', 'comment_id': 'list-79832807', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '11 August 2022 22:13', 'comment_text': 'Фестов, шоу и прочих празднеств... Хлеба и зрелищ холопам во время разгара пандемии... чтоб мысли дурные против власти в головы не лезли... и роспотребпозор с оперштабом ковидным молчат без команды сверху...', 'like_comment': '+1', 'dislike_comment': '−0'}, {'link': 'https://63.ru/text/entertainment/2022/08/11/71562260/', 'comment_id': 'list-79833689', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '11 August 2022 23:28', 'comment_text': 'кредитов больше раздайте и ипотек,тогда количество желающих вступить в ""самарский батальон"" , ""Б.А.Р.С"" увеличится прямо пропорционально количеству выданных денех .', 'like_comment': '+0', 'dislike_comment': '−0', 'comment_answer': []}, {'link': 'https://63.ru/text/entertainment/2022/08/11/71562260/', 'comment_id': 'list-79831729', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '11 August 2022 20:49', 'comment_text': 'Дмитрий Игоревич, ваш оперштаб опять [пока] рекомендует носить маски, а вы опять фестивалите. Вы или крестик снимите, или трусы наденьте.', 'like_comment': '+0', 'dislike_comment': '−0', 'comment_answer': []}, {'link': 'https://63.ru/text/entertainment/2022/08/11/71562260/', 'comment_id': 'list-79832818', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '11 August 2022 22:14', 'comment_text': 'Больше всяческих развлечений ждунам и терпилам - ""всё по плану""!', 'like_comment': '+0', 'dislike_comment': '−0'}, {'link': 'https://63.ru/text/entertainment/2022/08/11/71562260/', 'comment_id': 'list-79832913', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '11 August 2022 22:21', 'comment_text': 'Пир во время ""чумы""?!', 'like_comment': '+0', 'dislike_comment': '−0'}, {'link': 'https://63.ru/text/entertainment/2022/08/11/71562260/', 'comment_id': 'list-79833165', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '11 August 2022 22:40', 'comment_text': 'По факту власти умышленно создают толпы граждан, что на курортах, что на праздниках, что в транспорте, зачастую в антисанитарных условиях, как и в том году, а потом обвинят несознательных граждан в росте вирусных заболеваний! И роспотребнадзор молчит?!', 'like_comment': '+0', 'dislike_comment': '−0'}, {'link': 'https://63.ru/text/entertainment/2022/08/11/71562260/', 'comment_id': 'list-79838459', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '12 August 2022 09:11', 'comment_text': 'Зачем опять перекрывать Волжский проспект? Мертворожденный спортобъект за городом пустует :((', 'like_comment': '+0', 'dislike_comment': '−0'}, {'link': 'https://63.ru/text/entertainment/2022/08/11/71562260/', 'comment_id': 'list-79841651', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '12 August 2022 11:36', 'comment_text': 'с фонариками в форме буквы «Z» - не думал что до такого доживу.', 'like_comment': '+0', 'dislike_comment': '−0'}, {'link': 'https://63.ru/text/entertainment/2022/08/11/71562260/', 'comment_id': 'list-79842258', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '12 August 2022 12:03', 'comment_text': 'Физкультурник ваще чё за масть 🤣 ? Кто это ?', 'like_comment': '+0', 'dislike_comment': '−0'}]"
2022_08_11_71563034,2022-08-11,19:23:42,Образование,,Объединение колледжей,https://63.ru/text/education/2022/08/11/71563034/,В строительно-энергетическом колледже откроется новый студенческий кампус,Сейчас здесь идет ремонт,1 992,11,2022-08-11 19:23:42,"В колледже энергетики и строительства имени Мачнева создается 1 сентября кампус в сфере среднего специального образования. Сейчас идет капитальный ремонт помещений на общей площади более 6 тысяч квадратных метров. Ход работ оценил губернатор Самарской области Дмитрий Азаров. По словам директора образовательного учреждения Владимира Бочкова, в здании корпуса теоретического обучения ремонт уже полностью завершен. В нем заменили все инженерные сети тепло- и водоснабжения, проведены сети связи, полностью обновлена пожарная и охранная сигнализации, идет комплектование учебных аудиторий необходимой мебелью и оргтехникой.На стадии завершения работы в учебно-производственных мастерских и общественно-бытовом блоке. Готовность этих корпусов составляет около 95%.Уже к середине текущего месяца капремонт планируется полностью завершить. Активно благоустраивается и прилегающая территория: ремонтируются дороги и подъездные пути, в порядок приводят газоны.— Важно, чтобы 1 сентября студенты смогли приступить к образовательному процессу, находясь в комфортных условиях, — сказал Дмитрий Азаров.В июне этого года состоялось объединение Поволжского строительно-энергетического колледжа и Самарского энергетического колледжа, что позволяет преподавателям и студентам обоих учреждений использовать образовательную инфраструктуру кампуса. Всего на его базе планируется проводить обучение студентов по 15 направлениям технического профиля. Самую оперативную информацию о жизни Самары и области мы публикуем в нашем телеграм-канале 63.RU. А в паблике во «ВКонтакте» вы можете предложить свои новости, истории, фотографии и видео. Также у нас есть группа в «Одноклассниках». Читайте нас где удобно.",Марина Волгина,,,['Дмитрий Азаров'],"{'ЛАЙК': '0', 'СМЕХ': '0', 'УДИВЛЕНИЕ': '0', 'ГНЕВ': '2', 'ПЕЧАЛЬ': '0'}","[{'link': 'https://63.ru/text/education/2022/08/11/71563034/', 'comment_id': 'list-79835769', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '12 August 2022 06:36', 'comment_text': 'Как родители не старались отстоять СЭК, всё равно власть забрала колледж. Сколько потрачено нервов и денег и всё в воздух.', 'like_comment': '+2', 'dislike_comment': '−1', 'comment_answer': []}, {'link': 'https://63.ru/text/education/2022/08/11/71563034/', 'comment_id': 'list-79832837', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '11 August 2022 22:16', 'comment_text': 'Общага 21 века?', 'like_comment': '+1', 'dislike_comment': '−0'}, {'link': 'https://63.ru/text/education/2022/08/11/71563034/', 'comment_id': 'list-79832834', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '11 August 2022 22:15', 'comment_text': 'Крампус?! Всё слова какие то не наши во время Спецоперации?!', 'like_comment': '+1', 'dislike_comment': '−0'}, {'link': 'https://63.ru/text/education/2022/08/11/71563034/', 'comment_id': 'list-79834471', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '12 August 2022 01:39', 'comment_text': 'Заметила, что в последнее время у нас начали журналисты навязчиво использовать слово ""кампус"". Читаю и уже сомневаюсь в России ли я живу, может в какой Бразилии?', 'like_comment': '+0', 'dislike_comment': '−0', 'comment_answer': []}, {'link': 'https://63.ru/text/education/2022/08/11/71563034/', 'comment_id': 'list-79831390', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '11 August 2022 20:28', 'comment_text': 'Давайте вместе посмеёмся и поплачем. На рендере в статье (это не фото, а фотошоп) турникеты расставлены так, что меж ними пройти можно не боком, а под ручку вдвоём.\nПозор.', 'like_comment': '+0', 'dislike_comment': '−0'}, {'link': 'https://63.ru/text/education/2022/08/11/71563034/', 'comment_id': 'list-79833905', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '11 August 2022 23:58', 'comment_text': 'больше нечем заняться, как проверять', 'like_comment': '+0', 'dislike_comment': '−0'}, {'link': 'https://63.ru/text/education/2022/08/11/71563034/', 'comment_id': 'list-79848009', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '12 August 2022 16:34', 'comment_text': 'Тротуары от ул.Стара-Загора до пр. Карла Маркса не мешало бы привести в порядок... Да и пылесос необходим, пыль и грязь...', 'like_comment': '+0', 'dislike_comment': '−0'}]"
2022_08_11_71559641,2022-08-11,19:00:00,Здоровье,Подробности,,https://63.ru/text/health/2022/08/11/71559641/,Куй железо: как повысить гемоглобин и какие причины анемии бывают,"Почему анемия — это не только железодефицит, и какие анализы нужно сдать?",2 334,1,2022-08-11 19:00:00,"В сериале «Медликбез» мы продолжаем отвечать на ваши вопросы с помощью профильных врачей. Один из вопросов, которые прислали читатели, звучал так: «Как повысить гемоглобин?» Медицинский обозреватель НГС Мария Тищенко узнала у специалистов, как это сделать, какие причины недостатка гемоглобина бывают и почему железодефицит — это лишь один из видов анемии, и на какие симптомы следует обратить внимание. Гемоглобин — это железосодержащий белок красных кровяных клеток и одна из четырех уникальных молекул организма, наряду с ДНК, РНК и холестерином. — Функция гемоглобина — присоединение кислорода, поступающего в организм, и транспорт его во все ткани. В клетках кислород вступает в каскад реакций «тканевого дыхания», обеспечивающих энергетическую потребность всех клеточных процессов. Дефицит гемоглобина негативно влияет на все органы и системы организма, — объясняет главный врач клинико-диагностической лаборатории ООО «Инвитро — Сибирь» Андрей Поздняков. Фото: Александр Ощепков / NGS.RU Гемоглобин — один из важнейших лабораторных показателей для оценки информации о состоянии здоровья организма. Он входит в общий (клинический) анализ крови — ОАК. — В современной лабораторной медицине ОАК выполняется полностью автоматизированно, с использованием высокоточных гематологических анализаторов. При выявлении серьезных отклонений в каких-либо параметрах — экспертная оценка для верификации данных отклонений проводится врачом-лаборантом, — подчеркивает Андрей Поздняков. Он говорит, что снижение уровня гемоглобина в крови, или анемия — достаточно часто встречающееся состояние в совершенно разных возрастных категориях. Степень тяжести анемии маркируется уровнем гемоглобина: их выделяют три — легкая, средняя и тяжелая. При тяжелой стадии человеку даже требуется интенсивное стационарное лечение. Екатерина Воронцова, заведующая гематологическим отделением, врач-гематолог Новосибирской областной клинической больницы, замечает, что анемия — это не самостоятельное заболевание, а следствие какого-либо другого расстройства в организме: для женщин это уровень гемоглобина ниже 120 г/л (грамм на литр), для мужчин — ниже 130. Наиболее распространенные симптомы анемии, по словам специалистов, — это вялость, снижение двигательной активности, необычная одышка, сонливость, изменение состояния кожи, ломкость и повышенное выпадение волос, бледность слизистых и кожи, снижение аппетита, нарушения в работе желудочно-кишечного тракта, тахикардия, снижение артериального давления. — Кроме того, может быть пристрастие к необычным запахам — мокрый асфальт, запах лакокрасочных изделий. Также под частыми ОРВИ нередко скрывается железодефицит, так как железо влияет на уровень иммуноглобулинов, Т- и В-лимфоцитов иммунной системы, — уверен врач-гематолог сети многопрофильных клиник для всей семьи «1+1» Тимур Бурков. — Безусловно, самолечение лекарственными препаратами при анемии не допустимо! Их назначение для купирования анемического синдрома проводится только терапевтом либо гематологом после проведенного обследования и уточнения варианта анемии. Екатерина Воронцова поясняет, что различают несколько вариантов анемий: железодефицитная, мегалобластная (витамин В12-дефицитная, фолиеводефицитная), анемия хронических заболеваний и так далее. Но, по ее словам, до 80% всех анемий возникают из-за дефицита железа. — Этому состоянию, как правило, предшествует длительный латентный железодефицит — когда уровень гемоглобина еще находится в референтных пределах, однако дефицит железа в организме уже есть и могут быть симптомы, связанные с ним. Андрей Поздняков говорит, что в любом случае дефицит гемоглобина ведет к нарушению энергетических процессов во всех клетках организма, что оказывает неблагоприятное воздействие на человека, варьирующееся своими проявлениями в зависимости от тяжести анемии. Он отмечает, что одной из самых частых анемий является постгеморрагическая — возникающая вследствие острой массивной кровопотери, или чаще хронических, незаметных, но регулярных микрокровотечениях. Примеры: микрокровотечения из слизистых желудочно-кишечного тракта — язвенно-эрозивные поражения желудка или 12-перстной кишки, полипы толстой кишки, геморрой. У женщин причинами такой анемии могут быть нарушения менструального цикла, сопровождающиеся обильными или длительными кровотечениями. — Другая нередкая анемия — алиментарная (несбалансированное питание), с дефицитом железа и белков. При таком питании в организм элементарно поступает меньше «строительных материалов» для синтеза гемоглобина, и в организме развивается его дефицит. — Поэтому в таком случае применяется диетотерапия с достаточным содержанием белка и витаминов: мясо — телятина, баранина, говядина. А также рыба, зелень и овощи — шпинат, петрушка, бобовые, томаты, морковь, облепиха, шиповник, яблоки, курага, грецкие орехи. Более редкая алиментарная причина, подмечает Андрей Поздняков, — это дефицит поступающих с пищей фолиевой кислоты и витамина В12. Андрей Поздняков дополняет, что эти элементы играют важную роль в процессах кроветворения, синтеза эритроцитов — клеток, несущих молекулы гемоглобина. Соответственно, при дефиците фолиевой кислоты и/или витамина В12 нарушается синтез эритроцитов, вследствие чего возникает и дефицит гемоглобина. Онкологические заболевания также могут являться причиной анемии, как за счет микрокровотечений, возникающих при локализации опухоли, вызывающей повреждения сосудов, так и за счет повышенного потребления опухолью железа и за счет токсического действия продуктов опухоли на кроветворение. Анемия может являться спутником хронического воспалительного процесса (чаще инфекционного) в организме. — Кроме того, причиной анемии может быть повышенное разрушение эритроцитов. Такие анемии называются гемолитическими. Они могут быть врожденными, наследственными и приобретенными. На повышение разрушения эритроцитов могут влиять также различные агрессивные факторы внешней среды (тяжелые металлы, химические вещества), инфекционные агенты (малярия, некоторые паразитарные инвазии), дефекты иммунной системы (иммунное разрушение эритроцитов), механическое повреждение этих клеток (наличие имплантов в сосудистой системе, у пациентов на гемодиализе), — перечисляет Андрей Поздняков. К нечастной причине анемии можно отнести токсическое воздействие на систему кроветворения химических агентов: например, свинецсодержащие вещества, другие тяжелые металлы, а также воздействие радиации и прочие агрессивные факторы. — В ряде случаев, взглянув на общий клинический анализ крови, мы уже можем предварительно предположить генез этого состояния. В настоящее время в помощь врачам выступают так называемые эритроцитарные индексы (MCV, MCH, MCHC), которые изменяются в зависимости от причины анемии. Так, при железодефиците, как правило, наблюдается снижение этих показателей, а при дефиците В12 и фолиевой, наоборот, повышаются — это помогает нам сузить диагностический поиск и определиться с дальнейшим дообследованием, — объясняет врач-гематолог сети многопрофильных клиник для всей семьи «1+1» Тимур Бурков. Но на практике, подчеркивает он, достаточно часто, особенно у лиц старшего и пожилого возраста, анемия имеет сложный генез и может сочетать в себе дефицит как отдельного элемента, так и совместный их недостаток. Фото: Александр Ощепков / NGS.RU — Достаточно редко, к сожалению, врачи обращают внимание на уровень ретикулоцитов (молодые формы эритроцитов) в общем анализе крови, хотя этот показатель достаточно важен и тоже имеет место быть при диагностике анемии. Так, снижение числа ретикулоцитов говорит о недостаточном синтезе их в костном мозге, что наблюдается, например, при В12-дефицитной анемии. Витамин В12 содержится только в пище животного происхождения — в печени, почках, мясе, яйцах, молоке, молочных продуктах, сыре. Немного синтезируется в тонком кишечнике. Он не содержится в пище растительного происхождения, — комментирует Тимур Буров. Он поясняет, что в редких случаях возможен и дефицит витамина В6, поэтому на этот показатель тоже следует обратить внимание, но основное, что можно определять, — это уровень ферритина, витамина В12 и фолиевой кислоты. По словам Екатерины Воронцовой, для установления причин дефицита гемоглобина необходимо проведение определенного спектра обследований: феррокинетики (исследование показателей железообмена, например, ферритина, степени насыщения трансферрина, железосвязывающей способности сыворотки и так далее), определения размера и диаметра эритроцитов и так далее. А также эндоскопические методы исследования ЖКТ; УЗИ-исследования. И важен тщательный сбор анамнеза: есть ли в жизни человека вегетарианство, количество беременностей у женщин; эпизоды кровотечений — десен, маточные, геморроидальные и так далее. Тяжелые формы анемии даже лечатся в стационарах. Нельзя заниматься самолечением любой анемии Фото: Александр Ощепков / NGS.RU Основным источником железа является животный белок — так называемое гемовое железо, которое содержится в красном мясе. — При этом чем темнее мясо, тем больше в нем этого микроэлемента — печень, говядина. Также есть негемовое железо, основным источником которого являются продукты растительного происхождения — бобовые, шпинат, чечевица. Но нужно помнить, что восполнение дефицита железа только лишь продуктами не совсем рационально, так как концентрация этого микроэлемента недостаточная для полноценного лечения, тут предпочтительнее комбинированное воздействия в сочетании с препаратами железа, — считает Тимур Бурков. В случае латентного железодефицита, по его словам, принимаются препараты железа в профилактических дозах: как правило, это 50–100 мг в сутки, а при выявленной анемии дозы уже выше и составляют от 150 до 200 мг в зависимости от степени тяжести анемии, массы тела пациента. — Лечение анемии, вызванной дефицитов витамина B12, восполняется соответствующим препаратом, например, «Цианокобаламин» в дозе 500 мг. Дефицит фолиевой кислоты подразумевает использование фолатов в стратегии лечения, — приводит примеры Тимур Бурков. Врачи говорят, что коррекция анемии зависит от правильного установленного причинного фактора ее возникновения. Андрей Поздняков приводит пример: успех лечения постгеморрагической анемии зависит не только от правильно подобранной дозы препарата железа и длительности приема, но и от устранения причины, вызывающей кровотечение. Фото: Александр Ощепков / NGS.RU — В норме повышение гемоглобина у здоровых людей встречается не так уж редко — как правило, это спортсмены, чей организм адаптирован к тяжелым физическим нагрузкам и гипоксии, а также люди, проживающие в высокогорной местности с постоянным дефицитом кислорода. У таких людей повышение гемоглобина — адаптивная реакция организма. Повышенный патологический уровень гемоглобина — более редкая ситуация, — замечает Андрей Поздняков. Но она встречается, добавляет Андрей Поздняков, например, при патологии сердечно-сосудистой системы, прежде всего при пороках сердца. После тяжелых воспалительных процессов в легких, сопровождающихся фиброзированием. При злокачественных новообразованиях костного мозга с поражением эритроцитарного ростка; при тяжелом поражении паренхимы почек, а также при обезвоживании в силу каких-либо причин (чаще острых, инфекционных заболеваний). Врачи рассказали, что будет, если пить пиво каждый день. Как лечить варикоз и почему не нужно носить обтягивающие джинсы. Как работает коллаген, в каких продуктах его искать и как правильно принимать. Если вы тоже хотите что-то узнать у врачей, присылайте свои вопросы медицинскому обозревателю НГС МарииТищенко: m.a.tishenko@yandex.ru или по телефону: +7 961 845-55-78 (WhatsApp, SMS, Telegram).",Мария Тищенко,Обозреватель,https://63.ru/text/author/19841/,"['Анализ крови', 'Врачи', 'Анемия', 'Гемоглобин', 'Ферритин']","{'ЛАЙК': '0', 'СМЕХ': '0', 'УДИВЛЕНИЕ': '0', 'ГНЕВ': '0', 'ПЕЧАЛЬ': '0'}","[{'link': 'https://63.ru/text/health/2022/08/11/71559641/', 'comment_id': 'list-79830111', 'comment_creator_link': None, 'comment_creator': None, 'comment_date': '11 August 2022 19:16', 'comment_text': 'Пиваса, водки с шашлыком и закусите сигареткой!', 'like_comment': '+0', 'dislike_comment': '−0'}]"
